Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,NumberOfCars,Year,BasePolicy,FraudFound_P
Toyota,Urban,Jul,Female,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,none,4 years,36 to 40,No,No,2 vehicles,1994,Liability,0
Honda,Urban,Jan,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jan,Male,Married,72,Third Party,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,more than 7,over 65,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Feb,Female,Married,29,Third Party,Sedan - All Perils,Sedan,less than 20000,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Feb,Male,Single,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,4,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Nov,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Chevrolet,Urban,May,Female,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Apr,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,May,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Jun,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Honda,Rural,Jan,Male,Married,21,Policy Holder,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,none,4 years,26 to 30,No,No,1 vehicle,1994,Collision,1
Honda,Urban,Aug,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,1
Pontiac,Urban,Jun,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Dec,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Jun,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Accura,Urban,Nov,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Honda,Rural,May,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,4,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,Liability,0
Chevrolet,Urban,May,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Nov,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,4,more than 30,more than 30,none,5 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Married,49,Policy Holder,Utility - Collision,Utility,40000 to 59000,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Mar,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,2 vehicles,1994,Liability,0
Pontiac,Urban,Dec,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,7 years,41 to 50,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Jan,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Mercury,Urban,Mar,Male,Single,40,Third Party,Sedan - Collision,Sedan,more than 69000,2,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Aug,Male,Married,65,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Jan,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Jan,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Jan,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Jan,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,May,Male,Married,60,Third Party,Sedan - Collision,Sedan,more than 69000,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,1 vehicle,1994,Collision,0
Ford,Urban,Aug,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Jan,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Feb,Female,Married,47,Third Party,Sport - Collision,Sport,more than 69000,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Jaguar,Rural,Feb,Female,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Mar,Female,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jan,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Mazda,Urban,Jan,Male,Single,37,Third Party,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Chevrolet,Urban,Apr,Male,Married,36,Third Party,Sedan - All Perils,Sedan,more than 69000,4,more than 30,more than 30,none,7 years,36 to 40,No,No,3 to 4,1994,All Perils,0
Toyota,Urban,Feb,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,none,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Jan,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,2 vehicles,1994,Liability,0
Chevrolet,Rural,Mar,Male,Married,27,Policy Holder,Utility - Liability,Utility,more than 69000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,May,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,May,Male,Single,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Oct,Male,Married,74,Third Party,Sedan - All Perils,Sedan,30000 to 39000,4,more than 30,more than 30,none,7 years,over 65,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Oct,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Oct,Female,Single,25,Third Party,Sport - Collision,Sport,more than 69000,1,more than 30,more than 30,none,6 years,26 to 30,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jan,Male,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Jan,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Aug,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,3,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,1
Honda,Urban,May,Male,Married,61,Third Party,Sedan - Collision,Sedan,30000 to 39000,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jan,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,1
Toyota,Urban,Jan,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,4,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Jan,Male,Married,31,Policy Holder,Utility - All Perils,Utility,more than 69000,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,1
Pontiac,Urban,Jan,Female,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Ford,Urban,Feb,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Jan,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Dodge,Urban,Dec,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,1,more than 30,more than 30,none,7 years,31 to 35,No,No,2 vehicles,1994,Liability,0
Mazda,Urban,Aug,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Apr,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Oct,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Mar,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,none,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Sep,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,May,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Dec,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Accura,Rural,Jan,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,1 vehicle,1994,All Perils,1
Chevrolet,Urban,Jan,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Nov,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,1 vehicle,1994,Collision,0
Pontiac,Urban,Aug,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Mazda,Urban,Dec,Male,Single,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,5 years,over 65,No,No,1 vehicle,1994,All Perils,1
Honda,Rural,Dec,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,3,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,All Perils,1
Honda,Rural,Mar,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,3,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,All Perils,0
Honda,Rural,Oct,Female,Married,18,Third Party,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,none,2 years,21 to 25,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jun,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Apr,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,3 to 4,1994,Collision,0
Toyota,Urban,Feb,Male,Single,22,Third Party,Sedan - All Perils,Sedan,30000 to 39000,3,more than 30,more than 30,none,6 years,26 to 30,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Feb,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Dodge,Urban,Mar,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,2 vehicles,1994,Collision,0
Mazda,Urban,Jan,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Chevrolet,Rural,Jan,Male,Married,27,Third Party,Sedan - Liability,Sport,30000 to 39000,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,1 vehicle,1994,Liability,0
Honda,Urban,Nov,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jul,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Apr,Male,Single,18,Third Party,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,none,3 years,21 to 25,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Oct,Male,Married,60,Third Party,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Ford,Urban,Oct,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,more than 69000,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Apr,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Mar,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Mar,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Mar,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Mercury,Urban,Jan,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Feb,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Jul,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jul,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Mar,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,5 to 8,1994,Liability,0
Toyota,Urban,Feb,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Toyota,Rural,Feb,Male,Single,25,Third Party,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,1 vehicle,1994,Liability,0
