Month,MonthClaimed,Sex,Fault,PolicyType,PolicyNumber,Deductible,AddressChange_Claim,BasePolicy,FraudFound_P
Dec,Jan,Male,Policy Holder,Sedan - All Perils,139,400,no change,All Perils,0
Oct,Feb,Male,Policy Holder,Sedan - All Perils,140,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sport - Collision,141,400,no change,Collision,0
Jun,Jul,Male,Policy Holder,Sedan - All Perils,142,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - Liability,143,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,144,400,no change,Collision,0
Feb,Feb,Male,Third Party,Sedan - Liability,145,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,146,400,no change,All Perils,0
Sep,Sep,Male,Third Party,Sedan - Liability,147,400,no change,Liability,0
Dec,May,Male,Policy Holder,Sedan - All Perils,148,400,under 6 months,All Perils,1
Jun,Jun,Male,Policy Holder,Sedan - Collision,149,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,150,400,no change,Collision,0
Jan,Jan,Female,Third Party,Sedan - Collision,151,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,152,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Liability,153,400,no change,Liability,0
Sep,Oct,Male,Third Party,Sedan - All Perils,154,500,2 to 3 years,All Perils,0
Jan,Jan,Female,Third Party,Sedan - Liability,155,400,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,156,400,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sedan - Collision,157,400,no change,Collision,0
Jan,Feb,Male,Policy Holder,Sedan - All Perils,158,400,no change,All Perils,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,159,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,160,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,161,400,no change,All Perils,1
Jan,Jan,Male,Policy Holder,Sedan - Liability,162,400,no change,Liability,0
Jan,Jan,Female,Third Party,Sedan - Liability,163,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - All Perils,164,400,no change,All Perils,0
Jan,Jan,Female,Third Party,Sedan - Collision,165,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,166,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - All Perils,167,400,no change,All Perils,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,168,400,no change,Collision,0
May,Jul,Male,Policy Holder,Utility - All Perils,169,400,4 to 8 years,All Perils,0
May,May,Male,Policy Holder,Sedan - Liability,170,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,171,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,172,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,173,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,174,400,no change,Liability,0
Feb,Feb,Female,Policy Holder,Sedan - All Perils,175,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,176,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,177,400,no change,All Perils,0
Jan,Feb,Female,Policy Holder,Sedan - Liability,178,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,179,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - All Perils,180,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,181,400,no change,All Perils,0
Jun,Jul,Male,Policy Holder,Sedan - Collision,182,400,no change,Collision,0
Jun,Jun,Male,Third Party,Sedan - All Perils,183,400,1 year,All Perils,0
Dec,Feb,Male,Third Party,Sedan - All Perils,184,400,no change,All Perils,0
Jan,Jan,Female,Third Party,Sedan - All Perils,185,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,186,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - Liability,187,400,no change,Liability,0
Dec,Jan,Male,Third Party,Sedan - Liability,188,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,189,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,190,400,4 to 8 years,All Perils,1
Dec,Jan,Male,Policy Holder,Sedan - Collision,191,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,192,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Utility - All Perils,193,400,no change,All Perils,1
Feb,Feb,Female,Policy Holder,Sedan - All Perils,194,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Sport - Collision,195,400,no change,Collision,1
Feb,Feb,Male,Third Party,Sedan - Collision,196,400,no change,Collision,0
Feb,Oct,Male,Third Party,Sedan - Collision,197,400,no change,Collision,0
Aug,Sep,Male,Third Party,Sedan - Collision,198,400,no change,Collision,0
Mar,Mar,Female,Policy Holder,Sedan - All Perils,199,400,no change,All Perils,0
Dec,Jan,Male,Third Party,Sedan - All Perils,200,400,no change,All Perils,0
Dec,Jan,Male,Third Party,Sedan - Collision,201,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,202,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,203,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,204,400,no change,Liability,0
Dec,Jan,Male,Third Party,Sedan - All Perils,205,500,2 to 3 years,All Perils,1
Apr,May,Male,Policy Holder,Sedan - Collision,206,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,207,400,no change,Collision,1
Sep,Oct,Male,Policy Holder,Sedan - Collision,208,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,209,400,no change,Collision,0
Dec,Mar,Male,Third Party,Sedan - All Perils,210,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,211,400,4 to 8 years,Collision,0
Feb,Feb,Female,Third Party,Sedan - All Perils,212,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,213,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - All Perils,214,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,215,400,no change,Collision,0
Jun,Sep,Male,Policy Holder,Sedan - Collision,216,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,217,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,218,700,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sedan - Collision,219,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,220,400,no change,All Perils,0
Jul,Sep,Male,Policy Holder,Sedan - Liability,221,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,222,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Collision,223,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,224,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,225,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,226,400,no change,Liability,0
Oct,Oct,Male,Third Party,Sedan - Collision,227,400,no change,Collision,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,228,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,229,400,no change,Collision,1
Oct,Oct,Male,Policy Holder,Sedan - Liability,230,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,231,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,232,400,4 to 8 years,All Perils,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,233,400,no change,Collision,1
Mar,Apr,Male,Third Party,Sedan - Collision,234,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,235,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,236,400,no change,All Perils,1
Mar,Mar,Female,Policy Holder,Sedan - Collision,237,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,238,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,239,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,240,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,241,400,no change,Liability,0
Jan,Jan,Female,Policy Holder,Sedan - Liability,242,400,under 6 months,Liability,0
Aug,Jan,Female,Policy Holder,Sedan - Liability,243,400,no change,Liability,0
Aug,Mar,Male,Policy Holder,Sedan - Collision,244,400,no change,Collision,0
Feb,Mar,Male,Third Party,Sedan - Collision,245,400,no change,Collision,0
Dec,Jan,Male,Third Party,Sedan - Collision,246,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,247,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,248,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,249,700,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,250,400,no change,Collision,0
Jan,Jan,Male,Third Party,Sport - Collision,251,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,252,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,253,400,4 to 8 years,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,254,400,no change,Liability,0
Dec,Jan,Male,Third Party,Sport - Collision,255,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,256,500,2 to 3 years,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,257,400,no change,Collision,0
Dec,Jan,Female,Policy Holder,Sedan - Collision,258,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,259,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,260,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,261,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,262,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,263,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - Collision,264,400,no change,Collision,0
Feb,Aug,Female,Policy Holder,Sedan - Liability,265,400,no change,Liability,0
Dec,Jan,Male,Third Party,Sedan - Collision,266,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,267,400,no change,Liability,0
Feb,Feb,Female,Third Party,Sedan - All Perils,268,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,269,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,270,400,no change,Liability,0
Jan,Jan,Female,Policy Holder,Sedan - Liability,271,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,272,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,273,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,274,400,1 year,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,275,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sport - Collision,276,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,277,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,278,400,no change,Liability,0
Dec,Dec,Female,Policy Holder,Sedan - All Perils,279,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,280,400,no change,Liability,0
Dec,Feb,Male,Policy Holder,Sedan - All Perils,281,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,282,400,no change,Liability,0
Mar,Jan,Male,Policy Holder,Sedan - All Perils,283,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,284,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,285,400,no change,All Perils,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,286,400,no change,All Perils,0
Jan,Jan,Female,Policy Holder,Sedan - Liability,287,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,288,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,289,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,290,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Liability,291,400,no change,Liability,0
Jan,Jan,Female,Policy Holder,Sedan - All Perils,292,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - All Perils,293,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,294,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,295,400,4 to 8 years,Liability,0
Jan,Jan,Female,Policy Holder,Sedan - All Perils,296,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - Liability,297,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,298,400,no change,Collision,1
Jan,Jan,Male,Third Party,Sedan - Collision,299,400,no change,Collision,0
Jan,Mar,Male,Third Party,Sedan - All Perils,300,400,no change,All Perils,0
Dec,Jan,Male,Third Party,Sedan - Collision,301,400,no change,Collision,0
Dec,Jan,Female,Policy Holder,Sedan - Collision,302,400,no change,Collision,0
Dec,Jan,Male,Third Party,Sedan - Collision,303,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,304,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - All Perils,305,400,no change,All Perils,0
Apr,May,Male,Policy Holder,Sedan - All Perils,306,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,307,500,2 to 3 years,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,308,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,309,400,under 6 months,All Perils,1
Dec,Jan,Male,Policy Holder,Sedan - All Perils,310,400,no change,All Perils,1
Oct,Oct,Male,Policy Holder,Sedan - Liability,311,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,312,400,no change,Collision,0
Mar,Mar,Female,Policy Holder,Sedan - Liability,313,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,314,400,no change,Collision,0
Mar,Apr,Female,Third Party,Sedan - Liability,315,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Utility - All Perils,316,400,4 to 8 years,All Perils,1
May,Jun,Male,Policy Holder,Utility - All Perils,317,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,318,400,no change,Collision,1
May,May,Male,Policy Holder,Sedan - Collision,319,400,no change,Collision,0
Apr,Apr,Female,Policy Holder,Sedan - Liability,320,400,no change,Liability,0
Mar,Mar,Male,Third Party,Sedan - Collision,321,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,322,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,323,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,324,400,no change,All Perils,0
Jun,Jun,Male,Third Party,Sedan - All Perils,325,400,no change,All Perils,0
Jun,Jun,Female,Policy Holder,Sedan - Liability,326,400,no change,Liability,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,327,400,no change,Collision,0
Jul,Jul,Male,Third Party,Sedan - Collision,328,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,329,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - All Perils,330,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,331,400,no change,Liability,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,332,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,333,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,334,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,335,400,no change,Collision,0
Aug,Aug,Female,Policy Holder,Sedan - Collision,336,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sport - Collision,337,400,4 to 8 years,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,338,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,339,400,no change,Collision,0
Feb,Mar,Male,Policy Holder,Sedan - All Perils,340,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - Collision,341,400,no change,Collision,0
Sep,Oct,Male,Policy Holder,Sedan - Collision,342,700,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,343,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Liability,344,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - All Perils,345,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,346,400,no change,Collision,0
